"PULocationID","trips_sum","trip_distance_average"
1,27,7.48571428571429
3,335,4.60345679012346
4,4,1.3325
5,1,27.06
6,8,8.61
7,21596,2.22089734554851
8,17,2.46588235294118
9,145,5.20910447761194
10,508,5.1433676092545
11,176,5.29559523809524
12,3,0
13,4,2.435
14,955,5.90260109289617
15,106,4.97518518518519
16,253,6.51273170731707
17,2964,2.81392163783975
18,848,3.91779578606159
19,157,7.39753731343284
20,610,4.14140589569161
21,395,5.64768
22,485,5.67466522678186
23,48,2.6325
24,2128,2.24114354066986
25,9074,2.81164691413238
26,695,4.53807407407407
27,7,3.36714285714286
28,759,5.23352808988764
29,538,6.86973741794311
30,8,10.8675
31,335,7.09329166666667
32,413,4.57252252252252
33,12705,3.45209568511199
34,176,3.14005952380952
35,1187,4.4212676056338
36,1222,4.72601455868972
37,1142,4.02755681818182
38,136,7.39804511278196
39,1089,5.10333964049196
40,2254,2.96828532853285
41,29580,2.01117388861577
42,18373,2.20179647726608
43,5160,2.38365547043803
45,2,7.66
46,56,9.52480769230769
47,770,3.18532038834951
48,1,0.78
49,3989,2.80726383526384
50,5,8.57
51,778,6.25343390804598
52,4193,2.58139546112989
53,227,5.29365671641791
54,200,4.12244186046512
55,1537,8.35741459627329
56,1257,3.18704196519959
57,98,4.01081081081081
58,56,5.15568181818182
59,45,3.17952380952381
60,723,3.97436260623229
61,4505,2.90472762179026
62,1029,3.22835143139191
63,294,5.11507518796992
64,63,7.46981818181818
65,10353,3.05842251563586
66,9882,3.82592212902558
67,202,4.69329896907217
68,4,7.3525
69,2238,3.46716183574879
70,764,3.79363138686131
71,952,4.29824029126214
72,957,4.10180064308682
73,141,4.67333333333333
74,40793,2.33875638015517
75,31180,2.34216745375836
76,1863,4.84093140339836
77,505,5.11299376299376
78,968,4.11721109399075
79,2,4.395
80,4140,4.05212589928058
81,400,6.58812138728324
82,23871,2.37712979649246
83,2808,2.40648015122873
85,610,4.35081494057725
86,202,13.3904117647059
87,1,0
88,2,0
89,1757,4.06327849588719
90,1,1.51
91,903,4.51785956964892
92,6164,3.88470810210877
93,2094,8.3485003455425
94,434,4.0301226993865
95,15042,2.77069599564151
96,54,3.0012
97,13290,2.6310679462572
98,140,5.16416666666667
100,1,19.6
101,91,8.90253731343284
102,301,4.0157196969697
106,957,3.20306434023991
107,3,4.65333333333333
108,402,6.48602631578947
109,2,1.17
111,25,3.3064
112,2715,3.47299047619048
113,1,4.57
115,69,12.9708163265306
116,8867,2.78537293158805
117,202,13.0448387096774
118,11,10.7328571428571
119,1011,5.24323489932886
120,169,3.62181818181818
121,1126,4.11591766723842
122,233,5.33470588235294
123,546,4.52586138613861
124,157,5.99815602836879
125,1,5.3
126,772,3.80651982378855
127,1892,3.91823241590214
128,96,3.752125
129,13944,2.41217348335107
130,9921,3.82291457872043
131,411,4.6586319218241
132,295,3.23588888888889
133,378,4.42222543352601
134,4468,3.14156349400538
135,401,4.45540372670807
136,695,4.33917647058824
137,15,3.678
138,210,4.30585106382979
139,239,6.86361111111111
140,9,9.41777777777778
141,4,6.455
142,2,15.165
143,1,3.29
144,3,4.22333333333333
145,4553,3.00701750345463
146,2507,2.42079273327828
147,808,3.75185542168675
149,368,3.88341807909605
150,285,7.49825278810409
151,4,5.1175
152,4478,2.61750843373494
153,326,3.40690476190476
154,48,4.57275
155,563,4.9547191011236
156,55,23.2948837209302
157,540,3.91235135135135
159,2305,2.97241317365269
160,283,4.20352059925094
161,6,6.762
162,2,7.91
163,1,16.11
164,1,15.63
165,640,4.27522580645161
166,20563,2.43337978744736
167,1300,3.1378603268945
168,1999,3.14759723964868
169,961,4.20175213675214
170,9,10.7122222222222
171,275,5.00774647887324
172,18,5.855
173,1810,2.43216288384513
174,1144,5.14682162162162
175,74,5.40612903225806
176,5,0
177,763,3.61849797023004
178,184,4.45105555555556
179,2926,2.65406669083001
180,114,4.53918604651163
181,9472,2.66332832456799
182,2086,3.62490138067061
183,258,6.46919431279621
184,36,4.96535714285714
185,695,3.57135593220339
186,4,3.515
187,2,14.255
188,2149,3.29811573409852
189,1171,2.79065120428189
190,468,3.42439130434783
191,350,6.48562277580071
192,1075,5.73522222222222
193,1823,1.72929449838188
194,96,5.7548051948052
195,1138,4.89102990033223
196,4288,2.9721471798596
197,967,8.90426650366748
198,367,4.59466666666667
200,235,6.14316279069767
201,59,10.2741860465116
202,74,4.90348484848485
203,158,8.56006666666667
204,1,15.51
205,793,5.64124031007752
206,185,5.41266666666667
207,61,0.596181818181818
208,678,5.04772602739726
209,3,7.80333333333333
210,2002,3.34226049515608
211,5,4.04
212,1539,3.57910577971647
213,1340,5.61604994324631
214,2,20.84
215,740,5.14701525054466
216,784,5.56942345924453
217,304,3.18048611111111
218,341,6.51686868686869
219,136,6.67981481481482
220,749,4.42996835443038
221,18,14.316
222,439,5.87272300469484
223,6379,2.34417660328714
224,5,0.972
225,1844,3.72220876585929
226,3785,3.21354692373122
227,297,5.66480968858131
228,746,4.43740168539326
229,4,7.72666666666667
230,3,4.33666666666667
231,3,0.843333333333333
232,7,4.73571428571429
233,2,0
234,3,5.14333333333333
235,935,4.58855714285714
236,1159,2.40813167259786
237,4,6.26666666666667
238,3,15.5
239,2,1.065
240,84,4.99224137931034
241,714,4.10843212237094
242,2216,3.68631001371742
243,3626,3.76599268738574
244,14665,3.89158539368581
245,6,9.34
247,3048,3.82744860943168
248,1257,3.92835390946502
249,2,6.875
250,1067,4.70213644524237
251,17,7.974
252,190,7.62809523809524
253,214,9.00536585365854
254,821,5.72604285714286
255,6608,3.46509425144103
256,2567,3.42403009353396
257,332,3.51183544303797
258,343,5.38961130742049
259,305,5.51192913385827
260,11106,2.3889478044739
261,13,3.77769230769231
262,18,8.50933333333333
263,326,2.96401294498382
264,2249,0.42422256097561
265,787,9.9997602739726
